Country,Year,HALE,CO₂ pc,Happy Score,GNI pc PPP$
El Salvador,2019,64.87,1.1819563,6.253099918,8940
Estonia,2015,68.26,12.054009,5.628908634,28530
Estonia,2019,69.24,9.329184,5.893499851,38270
Ethiopia,2015,58.32,0.123901345,4.573154926,1620
Ethiopia,2019,59.89,0.16033709,4.28579998,2260
Finland,2010,69.55,11.948055,7.393264294,39460
Finland,2015,70.73,8.048078,7.447925568,42920
Finland,2019,71.0,7.6757298,7.768899918,52070
France,2010,71.16,6.0316763,6.797901154,36730
France,2015,71.7,5.196383,6.357625008,41730
France,2019,72.08,4.9128566,6.592100143,51580
Gabon,2015,56.29,3.1922517,4.66101265,12940
Gabon,2019,57.56,2.557198,4.799200058,13870
Georgia,2010,63.71,1.6180118,4.101837158,7430
Georgia,2015,64.2,2.5870674,4.121940613,11820
Georgia,2019,64.68,2.8959723,4.519100189,14930
Germany,2010,69.96,10.237197,6.724531174,39730
Germany,2015,70.07,9.6932535,7.037137508,48690
Germany,2019,70.89,8.504699,6.985000134,59330
Ghana,2010,54.33,0.379658,4.606251717,3790
Ghana,2015,56.49,0.5550984,3.985916138,4870
Ghana,2019,57.98,0.59343636,4.996300221,5340
Greece,2010,70.04,8.823278,5.839558601,27290
Greece,2015,70.43,6.9334774,5.622519016,26740
Greece,2019,70.87,6.218656,5.286699772,30880
Guatemala,2010,60.09,0.7630878,6.289748669,6450
Guatemala,2015,61.48,0.9969242,6.464986801,8000
Guinea,2015,51.51,0.2108391,3.504693508,1760
Guinea,2019,53.32,0.34430987,4.534399986,2540
Haiti,2010,27.98,0.21709362,3.76599884,2690
Haiti,2015,54.59,0.25186643,3.569762468,2950
Honduras,2010,62.32,0.9462405,5.866131306,3550
Honduras,2015,61.33,1.1133431,4.845436573,4410
Honduras,2019,62.98,1.1278571,5.8604002,5390
Hungary,2010,65.77,5.2137384,4.725132465,20720
Hungary,2015,66.6,4.739159,5.34438324,25520
Hungary,2019,67.19,5.038442,5.758299828,33730
Iceland,2015,71.9,10.6741,7.498070717,46470
Iceland,2019,71.98,9.829243,7.493599892,59540
India,2010,57.32,1.3513434,4.989277363,4170
India,2015,59.14,1.7165496,4.342079163,5350
India,2019,60.33,1.8989491,4.015200138,6830
Indonesia,2010,61.21,1.850474,5.457299232,8210
Indonesia,2015,62.33,2.0809183,5.04279995,9880
Indonesia,2019,62.83,2.4461334,5.192399979,11980
Iraq,2010,60.88,3.5204303,5.065462112,12240
Iraq,2015,60.8,4.45509,4.493377209,9120
Iraq,2019,62.66,4.5027084,4.437200069,10680
Ireland,2010,70.06,9.237014,7.257389545,36320
Ireland,2015,70.66,8.298328,6.830125332,53170
